date,hoursBusy,color1,color2,color3,color4,color5,color6,color7,color8,color9,color10,color11,color12
2011-01-11,4,4,0,0,0,0,0,0,0,0,0,0,0
2012-08-27,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-08-28,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-08-29,5,5,0,0,0,0,0,0,0,0,0,0,0
2012-08-30,4,4,0,0,0,0,0,0,0,0,0,0,0
2012-08-31,4,4,0,0,0,0,0,0,0,0,0,0,0
2012-09-03,4,4,0,0,0,0,0,0,0,0,0,0,0
2012-09-04,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-09-05,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-09-06,4,4,0,0,0,0,0,0,0,0,0,0,0
2012-09-07,4,4,0,0,0,0,0,0,0,0,0,0,0
2012-09-10,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-09-11,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-09-13,4,4,0,0,0,0,0,0,0,0,0,0,0
2012-09-14,4,4,0,0,0,0,0,0,0,0,0,0,0
2012-09-17,6,6,0,0,0,0,0,0,0,0,0,0,0
2012-09-18,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-09-19,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-09-20,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-09-21,4,4,0,0,0,0,0,0,0,0,0,0,0
2012-09-24,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-09-25,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-09-26,4,4,0,0,0,0,0,0,0,0,0,0,0
2012-09-28,6,6,0,0,0,0,0,0,0,0,0,0,0
2012-10-03,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-10-04,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-10-05,6,6,0,0,0,0,0,0,0,0,0,0,0
2012-10-08,9,9,0,0,0,0,0,0,0,0,0,0,0
2012-10-09,9,9,0,0,0,0,0,0,0,0,0,0,0
2012-10-10,11,11,0,0,0,0,0,0,0,0,0,0,0
2012-10-11,9,9,0,0,0,0,0,0,0,0,0,0,0
2012-10-12,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-10-16,8,8,0,0,0,0,0,0,0,0,0,0,0
2012-10-19,4,4,0,0,0,0,0,0,0,0,0,0,0
2012-10-22,6,6,0,0,0,0,0,0,0,0,0,0,0
2012-10-24,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-10-29,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-10-30,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-10-31,4,4,0,0,0,0,0,0,0,0,0,0,0
2012-11-02,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-11-05,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-11-06,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-11-07,4,4,0,0,0,0,0,0,0,0,0,0,0
2012-11-09,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-11-12,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-11-13,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-11-14,4,4,0,0,0,0,0,0,0,0,0,0,0
2012-11-16,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-11-19,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-11-20,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-11-21,4,4,0,0,0,0,0,0,0,0,0,0,0
2012-11-23,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-11-26,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-11-27,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-11-28,4,4,0,0,0,0,0,0,0,0,0,0,0
2012-11-30,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-12-04,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-12-05,4,4,0,0,0,0,0,0,0,0,0,0,0
2012-12-07,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-12-14,4,4,0,0,0,0,0,0,0,0,0,0,0
2013-01-14,4,4,0,0,0,0,0,0,0,0,0,0,0
2013-01-15,4,4,0,0,0,0,0,0,0,0,0,0,0
2013-01-16,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-01-17,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-01-18,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-01-21,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-01-22,4,4,0,0,0,0,0,0,0,0,0,0,0
2013-01-23,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-01-24,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-01-25,4,4,0,0,0,0,0,0,0,0,0,0,0
2013-01-28,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-01-29,4,4,0,0,0,0,0,0,0,0,0,0,0
2013-01-30,4,4,0,0,0,0,0,0,0,0,0,0,0
2013-01-31,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-02-05,6,6,0,0,0,0,0,0,0,0,0,0,0
2013-02-06,4,4,0,0,0,0,0,0,0,0,0,0,0
2013-02-07,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-02-08,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-02-11,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-02-12,4,4,0,0,0,0,0,0,0,0,0,0,0
2013-02-13,4,4,0,0,0,0,0,0,0,0,0,0,0
2013-02-14,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-02-15,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-02-18,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-02-19,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-02-20,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-02-22,4,4,0,0,0,0,0,0,0,0,0,0,0
2013-02-25,4,4,0,0,0,0,0,0,0,0,0,0,0
2013-02-26,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-02-27,4,4,0,0,0,0,0,0,0,0,0,0,0
2013-03-04,2,0,0,0,0,0,0,2,0,0,0,0,0
2013-03-06,4,0,0,0,0,0,2,0,0,0,0,2,0
2013-03-18,4,0,0,0,2,0,0,0,0,0,0,0,2
2013-03-19,2,0,0,0,0,0,0,0,2,0,0,0,0
2013-03-21,2,0,2,0,0,0,0,0,0,0,0,0,0
2013-03-25,2,0,0,0,0,0,0,0,0,0,2,0,0
2013-03-26,2,0,0,0,0,0,0,0,0,2,0,0,0
2013-03-28,2,0,0,0,0,0,0,0,0,0,0,2,0
2013-04-08,4,4,0,0,0,0,0,0,0,0,0,0,0
2013-04-09,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-04-11,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-04-15,4,4,0,0,0,0,0,0,0,0,0,0,0
2013-04-16,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-04-18,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-04-22,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-04-23,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-04-25,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-05-06,2,2,0,0,0,0,0,0,0,0,0,0,0
